,,,,,,,,,,,,,,,,,,,,
,,Nº REGISTRO,PLANOS (HIPERVINCULO),WEIGHT,MEDIDAS,ESCALA,GENERAL TOLERANCE,Nº ALMACENAJE,MATERIAL,COATING,CODE,DWG.,DWG. DATE,APPR.,APPR. DATE,COMPANY,Column 19,PAPER,ENLACE,COMMENTS
,27,T01.01.04,MEMBRANE,"0,002KG",A4,1:1 ,DIN 7168F,T01.04.18,INVAR,D/S,,A.N,21/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-00-29_Tube.jpeg,
,28,T01.01.05,HEXAGON SOCKET HEAD CAP SCREW,"0,006KG",A4,1:1,DIN 7168M,T01.04.18,UNBRANKO M6X25,BLACK CHEMICAL OXYDATION,,A.N,21/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-01-05_Screw.jpeg,
,29,T01.01.06,SECONDARY ALIGNMENT MIRROR BLANK,"0,05KG",A4,2:1,DIN 7168M,T01.04.18,ZERODUR,D/S,,A.N,15/5/1985,N.C.J,4/6/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-01-06_Secondary_Alignment_Mirror_Blank.jpeg,
,30,T01.01.09,AXIAL SUPPORT PLATE,"0,07KG",A4,1:1,DIN 7168F,T01.04.18,INVAR,BLACK CHEMICAL OXYDATION,,A.N,21/10/1985,P.H.J,5/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-01-09_Axial_Support_Plate.jpeg,
,31,T01.02A,SECONDARY MIRROR CELL,"38,5KG",A1,1:1,N/A,T01.04.18,N/A,D/S,,A.N.N,25/5/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-A_Secondary_Mirror_Cell.jpeg,
,32,T01.02B,SECONDARY MIRROR CELL,"38,5KG",A1,1:1,N/A,T01.04.18,N/A,D/S,,A.N.N,20/5/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-B_Secondary_Mirror_Cell.jpeg,
,33,T01.02.01,UPPER PLATE,"13,5KG",A1,1:1,DIN 7168F,T01.04.18,St37-2,BLACK CHEMICAL OXYDATION,,A.N.N,25/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-01_Upper_Plate.jpeg,
,34,T01.02.02,LOWER PLATE,15KG,A1,1:1,DIN 7168F,T01.04.18,St37-2,PAINT,,A.N.N,27/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-02_Lower_Plate.jpeg,
,35,T01.02.04,TRANSDUCER BRACKET,"0,36KG",A3,1:1,DIN 7168M,T01.04.18,St37-2 (CK45),BLACK CHEMICAL OXYDATION,,A.N.N,12/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-04_Transducer_Bracket.jpeg,
,36,T01.02.05,DOUBLE MOTOR SUPPORT,"4,0KG",A1,1:1,DIN 7168M,T01.04.18,St 37-2,BLACK CHEMICAL OXYDATION,,A.N.N,18/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-05_Double_Motor_Support.jpeg,
,37,T01.02.07,ANGULAR SUPPORT BRACKET,"0,09KG",A4,1:1,DIN 7168F,T01.04.18,St37-2,BLACK CHEMICAL OXYDATION,,A.N.N,9/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-07_Angular_Support_Bracket.jpeg,
,38,T01.02.08,SHIM,"0,002KG",A4,1:1,DIN 7168M,T01.04.18,St37-2,BLACK CHEMICAL OXYDATION,,A.N.N,24/9/1985,P.H.J,9/12/1985,NORDIC OPTICAL TELESCOPE SCIENTIFIC ASSOCIATION,,"PAPEL CONTINUO ""COPIA""",https://www.not.iac.es/telescope/drawings/T01-02-08_Shim.jpeg,
